ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
1402572,0.088,0.000,0.088,0.000,{method 'copy' of 'list' objects}
120134069,3.901,0.000,3.901,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
2103861,0.119,0.000,0.119,0.000,{method 'get' of 'dict' objects}
6,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
1402572,0.083,0.000,0.083,0.000,{method 'keys' of 'dict' objects}
11509575,2.304,0.000,2.304,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
350643,0.019,0.000,0.019,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
43530571,3.571,0.000,3.571,0.000,{method 'split' of 'str' objects}
17429410,0.947,0.000,0.947,0.000,{method 'lower' of 'str' objects}
48068383,2.404,0.000,2.404,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
22668646,1.620,0.000,1.727,0.000,{built-in method builtins.isinstance}
350645,0.037,0.000,0.037,0.000,{built-in method builtins.iter}
40044689,1.239,0.000,1.239,0.000,{built-in method builtins.len}
350644,0.050,0.000,51.626,0.000,{built-in method builtins.next}
20915292,3.490,0.000,3.490,0.000,{method 'sub' of 're.Pattern' objects}
69029,0.072,0.000,0.072,0.000,{built-in method _codecs.utf_8_decode}
350643,0.052,0.000,0.052,0.000,{built-in method _abc._abc_instancecheck}
10,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
10,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.001,0.001,0.001,0.001,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,{method 'tell' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,codecs.py:276(reset)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
69029,0.031,0.000,0.103,0.000,codecs.py:319(decode)
2,0.000,0.000,0.000,0.000,codecs.py:327(reset)
1,0.000,0.000,0.001,0.001,codecs.py:871(open)
350643,0.055,0.000,0.107,0.000,abc.py:96(__instancecheck__)
1,0.028,0.028,82.663,82.663,profiling.py:11(read_data)
1,0.449,0.449,83.113,83.113,profiling.py:22(main)
1,0.000,0.000,0.000,0.000,_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
20915292,3.749,0.000,12.382,0.000,re.py:203(sub)
20915292,3.683,0.000,5.143,0.000,re.py:289(_compile)
1,0.000,0.000,0.000,0.000,_weakrefset.py:38(_remove)
1,0.000,0.000,0.000,0.000,_weakrefset.py:81(add)
350643,0.379,0.000,29.329,0.000,Spectrum.py:71(__init__)
701286,0.128,0.000,0.128,0.000,fromnumeric.py:70(<dictcomp>)
701286,0.380,0.000,1.099,0.000,fromnumeric.py:69(_wrapreduction)
701286,0.060,0.000,0.060,0.000,fromnumeric.py:2399(_all_dispatcher)
701286,0.271,0.000,1.370,0.000,fromnumeric.py:2404(all)
701286,0.205,0.000,0.205,0.000,{method 'copy' of 'numpy.ndarray' objects}
1051929,4.067,0.000,4.067,0.000,{built-in method numpy.array}
701286,0.184,0.000,1.554,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
701286,0.551,0.000,0.551,0.000,{method 'reduce' of 'numpy.ufunc' objects}
701286,0.217,0.000,1.831,0.000,<__array_function__ internals>:177(all)
1,0.000,0.000,0.000,0.000,threading.py:81(RLock)
350643,0.097,0.000,9.716,0.000,Spectrum.py:175(get)
350643,0.041,0.000,0.041,0.000,Spectrum.py:216(losses)
350643,0.131,0.000,9.866,0.000,Spectrum.py:224(peaks)
1,0.000,0.000,0.000,0.000,__init__.py:119(getLevelName)
5,0.000,0.000,0.000,0.000,__init__.py:193(_checkLevel)
10,0.000,0.000,0.000,0.000,__init__.py:218(_acquireLock)
10,0.000,0.000,0.000,0.000,__init__.py:227(_releaseLock)
1,0.000,0.000,0.000,0.000,__init__.py:248(_register_at_fork_reinit_lock)
1,0.000,0.000,0.000,0.000,__init__.py:776(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:826(_removeHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:843(_addHandlerRef)
1,0.000,0.000,0.000,0.000,__init__.py:862(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:891(createLock)
2,0.000,0.000,0.000,0.000,__init__.py:912(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:959(setFormatter)
1,0.000,0.000,0.000,0.000,__init__.py:1051(__init__)
1,0.000,0.000,0.000,0.000,__init__.py:1276(disable)
3,0.000,0.000,0.000,0.000,__init__.py:1284(getLogger)
2,0.000,0.000,0.000,0.000,__init__.py:1372(_clear_cache)
2,0.000,0.000,0.000,0.000,__init__.py:1417(setLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1436(info)
1,0.000,0.000,0.000,0.000,__init__.py:1601(addHandler)
1,0.000,0.000,0.000,0.000,__init__.py:1675(getEffectiveLevel)
1,0.000,0.000,0.000,0.000,__init__.py:1689(isEnabledFor)
3,0.000,0.000,0.000,0.000,__init__.py:2018(getLogger)
350643,0.273,0.000,1.908,0.000,Fragments.py:35(__init__)
350643,0.406,0.000,1.608,0.000,Fragments.py:60(_is_sorted)
701286,0.124,0.000,0.329,0.000,Fragments.py:66(mz)
350643,0.247,0.000,17.134,0.000,Metadata.py:42(__init__)
350643,0.143,0.000,14.894,0.000,Metadata.py:78(harmonize_metadata)
350643,0.155,0.000,9.619,0.000,Metadata.py:92(get)
701286,0.517,0.000,11.118,0.000,PickyDict.py:82(__init__)
350643,0.126,0.000,9.437,0.000,PickyDict.py:110(copy)
13943528,7.195,0.000,22.592,0.000,PickyDict.py:152(_harmonize_key)
1402572,2.421,0.000,25.184,0.000,PickyDict.py:163(_apply_replacements)
350643,0.084,0.000,7.280,0.000,PickyDict.py:196(key_replacements)
350643,0.085,0.000,7.470,0.000,PickyDict.py:205(key_regex_replacements)
1051929,0.167,0.000,4.234,0.000,mgf.py:82(<lambda>)
1,0.000,0.000,0.000,0.000,mgf.py:142(<dictcomp>)
1,0.000,0.000,0.002,0.002,mgf.py:95(__init__)
350643,0.044,0.000,0.044,0.000,mgf.py:160(header)
1,0.001,0.001,0.001,0.001,mgf.py:166(_read_header_lines)
350643,34.968,0.000,50.825,0.000,mgf.py:180(_read_spectrum_lines)
1,0.000,0.000,0.002,0.002,mgf.py:362(__init__)
1,0.000,0.000,0.001,0.001,mgf.py:369(_read_header)
350643,0.493,0.000,51.319,0.000,mgf.py:373(_read_spectrum)
350644,0.205,0.000,51.576,0.000,mgf.py:376(_read)
1,0.000,0.000,0.000,0.000,file_helpers.py:173(__iter__)
350644,0.064,0.000,51.690,0.000,file_helpers.py:176(__next__)
1,0.000,0.000,0.001,0.001,file_helpers.py:192(__init__)
1,0.000,0.000,0.001,0.001,file_helpers.py:201(reset)
4,0.000,0.000,0.000,0.000,file_helpers.py:219(__getattr__)
1,0.000,0.000,0.001,0.001,file_helpers.py:79(wrapped)
1,0.000,0.000,0.001,0.001,file_helpers.py:94(__init__)
3,0.000,0.000,0.000,0.000,file_helpers.py:128(__getattr__)
350645,0.057,0.000,0.094,0.000,file_helpers.py:131(__iter__)
1,0.000,0.000,0.000,0.000,file_helpers.py:136(__init__)
1,0.000,0.000,0.000,0.000,file_helpers.py:141(__init__)
350644,0.634,0.000,82.635,0.000,load_from_mgf.py:7(load_from_mgf)
1,0.000,0.000,0.001,0.001,logging_functions.py:49(_init_logger)
1,0.000,0.000,0.000,0.000,logging_functions.py:60(set_matchms_logger_level)
1,0.000,0.000,0.001,0.001,logging_functions.py:110(reset_matchms_logger)


