ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{method 'clear' of 'list' objects}
3155787,0.190,0.000,0.190,0.000,{method 'copy' of 'list' objects}
120134069,4.011,0.000,4.011,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
4558362,0.291,0.000,0.291,0.000,{method 'get' of 'dict' objects}
350649,0.024,0.000,0.024,0.000,{method 'pop' of 'dict' objects}
3836525,0.204,0.000,0.204,0.000,{method 'keys' of 'dict' objects}
25783198,3.292,0.000,3.292,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
98,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
350643,0.021,0.000,0.021,0.000,{method 'copy' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
1,0.000,0.000,0.000,0.000,{method 'discard' of 'set' objects}
43530571,3.607,0.000,3.607,0.000,{method 'split' of 'str' objects}
38159770,2.031,0.000,2.031,0.000,{method 'lower' of 'str' objects}
48068383,2.429,0.000,2.429,0.000,{method 'strip' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
7/4,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
52928011,3.713,0.000,3.929,0.000,{built-in method builtins.isinstance}
350645,0.039,0.000,0.039,0.000,{built-in method builtins.iter}
40044689,1.261,0.000,1.261,0.000,{built-in method builtins.len}
1031382,0.194,0.000,52.485,0.000,{built-in method builtins.next}
49462538,8.205,0.000,8.205,0.000,{method 'sub' of 're.Pattern' objects}
69029,0.074,0.000,0.074,0.000,{built-in method _codecs.utf_8_decode}
701286,0.104,0.000,0.104,0.000,{built-in method _abc._abc_instancecheck}
11,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
11,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{method 'seek' of '_io.TextIOWrapper' objects}
